Year_Built,Gr_Liv_Area,Fireplaces,Garage_Cars,Overall_Qual,Year_Remod,shap_values_Year_Built,shap_values_Gr_Liv_Area,shap_values_Fireplaces,shap_values_Garage_Cars,shap_values_Overall_Qual,shap_values_Year_Remod,shap_values2_Year_Built,shap_values2_Gr_Liv_Area,shap_values2_Fireplaces,shap_values2_Garage_Cars,shap_values2_Overall_Qual,shap_values2_Year_Remod,i_shap_values_Year_Built,i_shap_values_Gr_Liv_Area,i_shap_values_Fireplaces,i_shap_values_Garage_Cars,i_shap_values_Overall_Qual,i_shap_values_Year_Remod,i_shap_values2_Year_Built,i_shap_values2_Gr_Liv_Area,i_shap_values2_Fireplaces,i_shap_values2_Garage_Cars,i_shap_values2_Overall_Qual,i_shap_values2_Year_Remod,SalePrice,Order,PID,pred1,pred2,group_id
1998,2362,2,2.0,160,540,-1.3652109375,-0.3045325520833333,-4.404130208333333,-2.5035807291666665,-3.0187473958333335,0.8231744791666666,-4.864216145833333,2.5556002604166665,-4.3277942708333335,-1.1283671875,0,0,0.005110920983069854,0.0019632559497273065,0.017168322844527444,0.01158221734127664,0.017667556088353614,0.003209387522871638,0.023845202019322064,0.01212156683584194,0.005659102635559603,0.007793622723937061,0,0,255900,1853,533244040,290772.25,303059.38,0
1976,1178,0,2.0,100,440,2.0893463541666666,0.3531432291666667,-7.152052083333333,-0.4382916666666667,1.5981119791666667,2.3279739583333336,3.6514010416666665,1.1408151041666668,-5.783369791666667,-0.12710416666666668,0,0,0.003008354007048442,0.0014196426585761732,0.01656407175746542,0.009208031898806007,0.014723541932441332,0.0028539150529155247,0.012870007574635191,0.00788348126180253,0.022992675034768612,0.006526261752329276,0,0,318750,2301,923275010,151725.12,135089.66,0
1976,1868,1,2.0,100,980,0.5966145833333334,0.49850520833333334,-2.0743802083333334,-0.3500625,-3.9154479166666665,-1.2622369791666668,-1.1725364583333333,-2.2019973958333336,-1.5506744791666667,-0.10574479166666667,0,0,0.0026989230528662008,0.003066043273711392,0.005347050375139296,0.005482532513786399,0.016006763228602415,0.0040841183281774005,0.009534395635874894,0.00970328512519254,0.0020237643668028307,0.004932920908735293,0,0,155000,383,527359180,149996.23,181550.33,0
1915,2180,1,2.0,120,1500,-0.18636458333333333,0.026955729166666668,-1.68696484375,-0.28468489583333334,-7.625001302083333,-0.7883424479166666,-1.07840625,-0.14129947916666666,-1.6913515625,-0.1153359375,0,0,0.0013682201599060858,0.0009798931039766239,0.00874319504061425,0.005459425892986253,0.040407131642219256,0.0017958306766971657,0.013649042532950833,0.009012518709571548,0.004816397302931929,0.006510254129511585,0,0,257500,2037,903457040,149986.52,173566.45,0
2004,1391,0,2.0,140,420,1.3140208333333332,-1.2069609375,-6.780510416666667,-0.4155234375,1.5150963541666667,2.7375338541666667,6.4346875,3.3941276041666666,-6.663046875,-0.14643489583333336,0,0,0.002413870005694996,0.00244511458702146,0.01825762928704409,0.0037065973090448763,0.009674928060319834,0.0034497777668230614,0.01745475687151303,0.006851227669800099,0.011579658854533253,0.004928486727267857,0,0,125200,1160,533206050,179846.38,171053.44,0
1966,1888,1,2.0,120,460,-1.1190286458333332,-1.3020520833333333,2.5962161458333335,-0.4482578125,1.6344557291666668,-1.166734375,-2.2430989583333334,3.2967291666666667,2.323296875,-0.14300520833333336,0,0,0.0018039589736029624,0.0007432478131099459,0.002685425544818814,0.007178482785907051,0.012661548898055878,0.0048152477274638434,0.0065010874362830895,0.007921298585970763,0.005211913541223266,0.002702550206080529,0,0,88000,138,535126040,194834.16,194445.1,0
1975,879,0,2.0,100,1000,0.010065104166666667,-0.9525807291666666,-5.351432291666667,-3.0420885416666663,1.1957682291666667,0.081140625,-0.281015625,2.1683541666666666,-5.037317708333333,-1.3133645833333332,0,0,0.00572057590266721,0.008218847059893663,0.029893767344909887,0.01743145870986771,0.014232845774994313,0.005916544943713715,0.008964251132131285,0.006653455384045717,0.016594603309965254,0.007076556808675991,0,0,159000,2140,907202220,127740.516,121402.21,0
1920,1111,0,1.0,100,580,0.6836614583333334,-0.07786588541666667,-4.42338671875,-0.27107291666666666,-7.26043359375,-0.03981640625,-0.768625,-0.6537395833333334,-4.602505208333333,-0.10115104166666668,0,0,0.0017531989866174007,0.0012400440654507384,0.017168322844527444,0.004660109159894474,0.044191676896710455,0.003946710067827545,0.010131182039118268,0.006550160189319642,0.019881426231006014,0.003780065435764107,0,0,287090,2039,903458020,115005.12,98308.51,0
2000,1800,1,2.0,120,500,2.0928776041666666,-0.6589244791666666,-2.4865546875,-0.4196197916666667,-2.0032604166666665,1.5210286458333333,4.146567708333333,2.0555390625,-2.1394791666666664,-0.1458984375,0,0,0.0024405893345940725,0.0022435492340474542,0.003092405323272007,0.0037065973090448763,0.013588160171392924,0.002747951973367027,0.010241852909712496,0.004562898098715977,0.003937551283914157,0.004928486727267857,0,0,142250,488,528290120,183393.17,225134.73,0
2007,1780,1,2.0,160,360,-0.2736015625,0.033778645833333336,-2.1137369791666667,-0.356703125,-1.7029088541666668,-1.4981588541666668,-2.9495911458333337,-0.0015130208333333332,-1.5836015625,-0.10798958333333333,0,0,0.002910207417257281,0.0015539597377076143,0.005347050375139296,0.0050326630534866445,0.01455078810811556,0.0045520146852894615,0.01727714173308229,0.006233063461786131,0.004629589552420654,0.004932920908735293,0,0,235000,1576,916384100,239497.25,242166.52,0
